State,Sex,LE,SE,Quartile
Mississippi,Total,70.9,0.092,70.9 - 74.5
West Virginia,Total,71,0.117,70.9 - 74.5
Alabama,Total,72,0.069,70.9 - 74.5
Louisiana,Total,72.2,0.073,70.9 - 74.5
Kentucky,Total,72.3,0.071,70.9 - 74.5
Tennessee,Total,72.4,0.057,70.9 - 74.5
Arkansas,Total,72.5,0.089,70.9 - 74.5
Oklahoma,Total,72.7,0.074,70.9 - 74.5
New Mexico,Total,73,0.113,70.9 - 74.5
South Carolina,Total,73.5,0.069,70.9 - 74.5
Georgia,Total,74.3,0.045,70.9 - 74.5
Ohio,Total,74.5,0.044,70.9 - 74.5
Alaska,Total,74.5,0.18,70.9 - 74.5
Indiana,Total,74.6,0.057,74.6 - 76.3
Missouri,Total,74.6,0.06,74.6 - 76.3
North Carolina,Total,74.9,0.046,74.6 - 76.3
Wyoming,Total,75,0.199,74.6 - 76.3
Arizona,Total,75,0.057,74.6 - 76.3
Nevada,Total,75.1,0.083,74.6 - 76.3
District of Columbia,Total,75.3,0.19,74.6 - 76.3
Texas,Total,75.4,0.027,74.6 - 76.3
Michigan,Total,75.7,0.046,74.6 - 76.3
Montana,Total,75.8,0.145,74.6 - 76.3
Kansas,Total,76,0.086,74.6 - 76.3
Florida,Total,76.1,0.033,74.6 - 76.3
Delaware,Total,76.3,0.15,74.6 - 76.3
Pennsylvania,Total,76.4,0.041,76.4 - 77.8
South Dakota,Total,76.6,0.164,76.4 - 77.8
Maine,Total,76.7,0.126,76.4 - 77.8
Virginia,Total,76.8,0.049,76.4 - 77.8
Illinois,Total,77.1,0.041,76.4 - 77.8
Idaho,Total,77.2,0.104,76.4 - 77.8
Maryland,Total,77.2,0.059,76.4 - 77.8
Oregon,Total,77.4,0.067,76.4 - 77.8
North Dakota,Total,77.6,0.164,76.4 - 77.8
Iowa,Total,77.7,0.077,76.4 - 77.8
Colorado,Total,77.7,0.06,76.4 - 77.8
Wisconsin,Total,77.8,0.059,76.4 - 77.8
Nebraska,Total,77.8,0.101,76.4 - 77.8
Utah,Total,78.2,0.078,77.9 - 79.9
Washington,Total,78.2,0.05,77.9 - 79.9
California,Total,78.3,0.023,77.9 - 79.9
Vermont,Total,78.4,0.176,77.9 - 79.9
Rhode Island,Total,78.5,0.13,77.9 - 79.9
New Hampshire,Total,78.5,0.117,77.9 - 79.9
Minnesota,Total,78.8,0.059,77.9 - 79.9
New Jersey,Total,79,0.045,77.9 - 79.9
New York,Total,79,0.031,77.9 - 79.9
Connecticut,Total,79.2,0.074,77.9 - 79.9
Massachusetts,Total,79.6,0.05,77.9 - 79.9
Hawaii,Total,79.9,0.118,77.9 - 79.9
Mississippi,Male,67.7,0.133,67.7 - 71.8
West Virginia,Male,68.1,0.167,67.7 - 71.8
Louisiana,Male,68.8,0.105,67.7 - 71.8
Alabama,Male,68.9,0.1,67.7 - 71.8
Tennessee,Male,69.4,0.083,67.7 - 71.8
New Mexico,Male,69.4,0.161,67.7 - 71.8
Kentucky,Male,69.6,0.101,67.7 - 71.8
Arkansas,Male,69.7,0.127,67.7 - 71.8
Oklahoma,Male,70,0.105,67.7 - 71.8
South Carolina,Male,70.4,0.1,67.7 - 71.8
Georgia,Male,71.6,0.065,67.7 - 71.8
Missouri,Male,71.6,0.088,67.7 - 71.8
Ohio,Male,71.7,0.063,67.7 - 71.8
Indiana,Male,71.8,0.083,67.7 - 71.8
District of Columbia,Male,71.9,0.275,71.9 - 73.5
Arizona,Male,72,0.082,71.9 - 73.5
North Carolina,Male,72,0.068,71.9 - 73.5
Alaska,Male,72.2,0.25,71.9 - 73.5
Nevada,Male,72.4,0.119,71.9 - 73.5
Wyoming,Male,72.5,0.281,71.9 - 73.5
Texas,Male,72.7,0.038,71.9 - 73.5
Michigan,Male,72.9,0.067,71.9 - 73.5
Montana,Male,73.1,0.21,71.9 - 73.5
Florida,Male,73.1,0.048,71.9 - 73.5
Delaware,Male,73.3,0.218,71.9 - 73.5
Kansas,Male,73.4,0.122,71.9 - 73.5
Pennsylvania,Male,73.6,0.058,73.6 - 75.3
Maine,Male,73.8,0.184,73.6 - 75.3
South Dakota,Male,74.1,0.23,73.6 - 75.3
Virginia,Male,74.2,0.071,73.6 - 75.3
Illinois,Male,74.2,0.06,73.6 - 75.3
Maryland,Male,74.3,0.087,73.6 - 75.3
Idaho,Male,74.8,0.151,73.6 - 75.3
Oregon,Male,74.8,0.098,73.6 - 75.3
North Dakota,Male,75,0.232,73.6 - 75.3
Colorado,Male,75,0.087,73.6 - 75.3
Iowa,Male,75.2,0.111,73.6 - 75.3
