"","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","q25","q25.lcl","q25.ucl","q75","q75.lcl","q75.ucl","stratum","Weight_Class_10KGBin_at_HLES","Breed_Class","Sex"
"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female",2177,432,31,549,13.6595742668468,0.158147308045943,14.0575342465753,13.7808219178082,14.4958904109589,12.0191256830601,11.6958904109589,12.5095890410959,15.9123287671233,15.6876712328767,16.1561643835616,"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female","0-9.9 kg","Non-AKC-Recognized or Mixed Breed","Female"
"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ",2126,403,16,535,13.6552607669636,0.15087659944881,14.1671232876712,13.9643835616438,14.4972677595628,11.8712328767123,11.213698630137,12.4890710382514,15.6767123287671,15.4794520547945,16.0821917808219,"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ","0-9.9 kg","Non-AKC-Recognized or Mixed Breed","Male"
"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female",2290,370,28,758,12.9988856409842,0.165687179639419,13.5698630136986,13.2027397260274,13.9287671232877,11.3452054794521,10.7506849315069,11.8328767123288,15.3360655737705,15.0218579234973,15.4986301369863,"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female","0-9.9 kg","AKC-Recognized Breed","Female"
"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ",2196,391,26,734,13.2697281358033,0.206371413890542,13.8497267759563,13.5260273972603,14.1671232876712,11.4054794520548,10.786301369863,12.1639344262295,15.4712328767123,15.1780821917808,15.7213114754098,"Weight_Class_10KGBin_at_HLES=0-9.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ","0-9.9 kg","AKC-Recognized Breed","Male"
"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female",2804,623,70,658,13.4349198970888,0.138107156757963,13.8169398907104,13.6803278688525,14.0958904109589,12.0546448087432,11.8109589041096,12.5819672131148,15.4739726027397,15.2213114754098,15.724043715847,"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female","10-19.9 kg","Non-AKC-Recognized or Mixed Breed","Female"
"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ",1918,379,16,525,13.0123424718826,0.193626134977381,13.7732240437158,13.4684931506849,14.1178082191781,11.4767123287671,10.9071038251366,11.9808743169399,15.1890410958904,15.0164383561644,15.4699453551913,"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ","10-19.9 kg","Non-AKC-Recognized or Mixed Breed","Male"
"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female",1890,415,13,462,12.8180179020021,0.162561564641228,13.3251366120219,12.9917808219178,13.7287671232877,11.3671232876712,10.8821917808219,11.8142076502732,14.8602739726027,14.5972602739726,15.1561643835616,"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female","10-19.9 kg","AKC-Recognized Breed","Female"
"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ",1769,354,24,545,12.1761199572366,0.175683307922807,12.5355191256831,12.2383561643836,13.0491803278689,10.3917808219178,9.93698630136986,10.9780821917808,14.5178082191781,14.227397260274,14.6803278688525,"Weight_Class_10KGBin_at_HLES=10-19.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ","10-19.9 kg","AKC-Recognized Breed","Male"
"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female",4211,905,39,1091,12.4359308164452,0.108430060622671,13.0246575342466,12.7896174863388,13.2786885245902,10.9808219178082,10.7561643835616,11.2356164383562,14.4849315068493,14.3260273972603,14.6438356164384,"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female","20-29.9 kg","Non-AKC-Recognized or Mixed Breed","Female"
"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ",3201,716,19,844,12.1223931813846,0.150992270872537,12.8739726027397,12.4465753424658,13.0928961748634,10.5041095890411,10.0794520547945,10.8579234972678,14.3360655737705,14.1780821917808,14.5835616438356,"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ","20-29.9 kg","Non-AKC-Recognized or Mixed Breed","Male"
"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female",2935,677,51,780,11.8318124003282,0.14409447295928,12.3524590163934,11.9808743169399,12.627397260274,10.2465753424658,9.78082191780822,10.7534246575342,13.8825136612022,13.7506849315069,14.0931506849315,"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Female","20-29.9 kg","AKC-Recognized Breed","Female"
"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ",2131,504,45,554,11.4779821733886,0.159807247526056,12.0657534246575,11.7950819672131,12.3688524590164,9.61643835616438,9.16986301369863,10.2821917808219,13.8164383561644,13.4712328767123,14.0767123287671,"Weight_Class_10KGBin_at_HLES=20-29.9 kg, Breed_Class=AKC-Recognized Breed             , Sex=Male  ","20-29.9 kg","AKC-Recognized Breed","Male"
"Weight_Class_10KGBin_at_HLES=30-39.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female",1257,270,31,416,11.5096869112259,0.300862884678022,12.1256830601093,11.8224043715847,12.5780821917808,9.81369863013699,8.6958904109589,10.5273224043716,13.7698630136986,13.5095890410959,14.1369863013699,"Weight_Class_10KGBin_at_HLES=30-39.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Female","30-39.9 kg","Non-AKC-Recognized or Mixed Breed","Female"
"Weight_Class_10KGBin_at_HLES=30-39.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ",2146,456,6,657,11.4387303125781,0.179120688359802,12.0602739726027,11.7671232876712,12.2794520547945,9.93972602739726,9.56986301369863,10.3387978142077,13.627397260274,13.4054794520548,13.8356164383562,"Weight_Class_10KGBin_at_HLES=30-39.9 kg, Breed_Class=Non-AKC-Recognized or Mixed Breed, Sex=Male  ","30-39.9 kg","Non-AKC-Recognized or Mixed Breed","Male"
