"Size_Class_at_HLES","Breed_Class","Sex","log.rank.pvalue.ha","log.rank.pvalue.cd","log.rank.pvalue.st","cox.zph.pvalue.ha","cox.zph.pvalue.cd","cox.zph.pvalue.st"
"Toy and Small dogs","Non-AKC-Recognized or Mixed Breed","Female",0.836753400216193,0.0644298365638204,0.137607724076204,0.440483993950477,0.465218304352527,0.34481932177173
"Toy and Small dogs","Non-AKC-Recognized or Mixed Breed","Male",0.616600222769031,0.203089298689949,0.455853725437347,0.0498111478615731,0.612985325571922,0.0749933970620521
"Toy and Small dogs","AKC-Recognized Breed","Female",0.194180628927618,0.494566604010348,0.944117571540033,0.98584579210856,0.357104480618075,0.382307717176076
"Toy and Small dogs","AKC-Recognized Breed","Male",0.563299279264197,0.74506383834633,0.21187949289616,0.84111184857748,0.0563990488132451,0.0122952312265173
"Medium dogs","Non-AKC-Recognized or Mixed Breed","Female",0.7951576176461,0.934965695394372,0.811842280243816,0.685857587545666,0.927517697443967,NA
"Medium dogs","Non-AKC-Recognized or Mixed Breed","Male",0.707223689792837,0.81919949787989,0.891113501238783,0.422958098640244,0.320467255811852,0.00297635066909741
"Medium dogs","AKC-Recognized Breed","Female",0.396260971532734,0.109464881380847,0.27235409279018,0.350447561972569,0.457684901428344,NA
"Medium dogs","AKC-Recognized Breed","Male",0.809127380066995,0.452103686083891,0.0812182420945055,0.488661910703854,0.532966208488629,0.0186894333594031
"Standard dogs","Non-AKC-Recognized or Mixed Breed","Female",0.272836535900109,0.804620343521672,0.908788188191732,0.509907846346056,0.568403087957858,0.399809976690646
"Standard dogs","Non-AKC-Recognized or Mixed Breed","Male",0.279358735526182,0.67841372435432,0.829473826016822,0.706686682748174,0.926401614176682,0.726660027391904
"Standard dogs","AKC-Recognized Breed","Female",0.859827959719001,0.357039507832407,0.399860303405715,0.792229579033791,0.05537428406182,0.0914363475011389
"Standard dogs","AKC-Recognized Breed","Male",0.498992168717803,0.509123802664524,0.110269761561441,0.220056869939751,0.374815017208263,0.379287406757781
"Large dogs","Non-AKC-Recognized or Mixed Breed","Female",0.842592160187488,0.730029327867752,0.456648691666474,0.0323927736915235,0.283877940024117,NA
"Large dogs","Non-AKC-Recognized or Mixed Breed","Male",0.872572109989163,0.968404389346906,0.887351622146485,0.855241883822422,0.251276815204976,0.00973815516003864
"Large dogs","AKC-Recognized Breed","Female",0.573255096654704,0.186402955603145,0.0509986029596833,0.982125760351612,0.987900761445735,0.0279299810923647
"Large dogs","AKC-Recognized Breed","Male",0.856713927108939,0.421406660382719,0.251043358795171,0.136563255536317,0.0167290158496893,0.157895058517422
"Giant dogs","Non-AKC-Recognized or Mixed Breed","Female",0.281875849350047,0.502480057979954,0.179501653542808,0.795382468530744,0.565100388492285,NA
"Giant dogs","Non-AKC-Recognized or Mixed Breed","Male",0.0981438108061689,0.987115670819727,0.317850736936159,0.0827974061284241,0.355956891260574,0.725683982560828
"Giant dogs","AKC-Recognized Breed","Female",0.526819090060428,0.0167475154480847,0.0766297548243998,0.182727588428562,0.448077096009847,NA
"Giant dogs","AKC-Recognized Breed","Male",0.106935955433132,0.238991455964742,0.509021792873368,0.325841633263684,0.298853006303174,NA
