"","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","q25","q25.lcl","q25.ucl","q75","q75.lcl","q75.ucl","stratum","Breed","Sex"
"Breed=Labrador Retriever, Sex=Female",1215,238,27,355,12.4536711993599,0.141742538685963,12.7315068493151,12.3524590163934,13.1260273972603,11.2219178082192,10.8005464480874,11.5534246575342,14.0328767123288,13.8497267759563,14.2493150684931,"Breed=Labrador Retriever, Sex=Female","Labrador Retriever","Female"
"Breed=Labrador Retriever, Sex=Male  ",1165,268,20,345,11.6688141751,0.20607380079754,12.158904109589,11.8356164383562,12.4972677595628,10.3315068493151,9.84931506849315,10.9013698630137,13.5972602739726,13.3287671232877,13.8767123287671,"Breed=Labrador Retriever, Sex=Male  ","Labrador Retriever","Male"
"Breed=Golden Retriever, Sex=Female",1017,260,15,295,11.0385498609856,0.203900824267058,11.4191780821918,11.0628415300546,11.7103825136612,9.47267759562842,8.76164383561644,10.2438356164384,13.2246575342466,12.6994535519126,13.5491803278689,"Breed=Golden Retriever, Sex=Female","Golden Retriever","Female"
"Breed=Golden Retriever, Sex=Male  ",1119,301,31,301,10.8389037088231,0.169765121575174,11.0601092896175,10.4958904109589,11.5780821917808,8.94246575342466,8.49453551912568,9.56712328767123,12.7808219178082,12.3945205479452,13.2547945205479,"Breed=Golden Retriever, Sex=Male  ","Golden Retriever","Male"
"Breed=German Shepherd Dog, Sex=Female",521,122,4,151,10.9370176539703,0.234542864486398,11.3579234972678,10.4520547945205,11.8767123287671,9.55890410958904,8.61643835616438,10.2,12.7896174863388,12.2958904109589,13.2383561643836,"Breed=German Shepherd Dog, Sex=Female","German Shepherd Dog","Female"
"Breed=German Shepherd Dog, Sex=Male  ",458,136,11,132,9.78970618105271,0.292882151444765,10.3369863013699,9.62295081967213,10.8630136986301,8.17486338797814,7.67671232876712,8.65300546448087,12.2657534246575,11.3068493150685,12.9972602739726,"Breed=German Shepherd Dog, Sex=Male  ","German Shepherd Dog","Male"
"Breed=Australian Shepherd, Sex=Female",345,86,33,67,13.1045141068525,0.395887772524632,13.9945205479452,13.3095890410959,15.0219178082192,12.0054794520548,9.78356164383562,13.3095890410959,15.2438356164384,15.0383561643836,15.5808219178082,"Breed=Australian Shepherd, Sex=Female","Australian Shepherd","Female"
"Breed=Australian Shepherd, Sex=Male  ",390,97,10,104,11.16920334873,0.44545596795754,11.2958904109589,10.7041095890411,12.6767123287671,9.44262295081967,8.77260273972603,10.3945205479452,13.8301369863014,12.9205479452055,14.6,"Breed=Australian Shepherd, Sex=Male  ","Australian Shepherd","Male"
"Breed=Poodle, Sex=Female",300,76,5,79,12.1373708059506,0.440875623262228,12.5643835616438,11.3424657534247,13.6931506849315,9.93698630136986,8.69315068493151,11.9232876712329,14.0931506849315,13.6967213114754,15.0301369863014,"Breed=Poodle, Sex=Female","Poodle","Female"
"Breed=Poodle, Sex=Male  ",414,93,31,121,11.8677982175707,0.356711189175698,12.4246575342466,11.7917808219178,13.2657534246575,10.2821917808219,8.78082191780822,11.5205479452055,14.3041095890411,13.6,14.7150684931507,"Breed=Poodle, Sex=Male  ","Poodle","Male"
"Breed=Border Collie, Sex=Female",267,64,1,54,13.7597700090349,0.509305632203019,14.3479452054795,13.8356164383562,15.1452054794521,12.9917808219178,11.5972602739726,14.1671232876712,15.5808219178082,15.1342465753425,16,"Breed=Border Collie, Sex=Female","Border Collie","Female"
"Breed=Border Collie, Sex=Male  ",240,50,19,59,12.5840649253344,0.483929219933792,13.6904109589041,13.1123287671233,14.3333333333333,11.3142076502732,9.33333333333333,13.4191780821918,14.5956284153005,14.2513661202186,15.3369863013699,"Breed=Border Collie, Sex=Male  ","Border Collie","Male"
"Breed=Dachshund, Sex=Female",233,48,8,82,14.2132831341424,0.524205787301884,14.7595628415301,13.8551912568306,15.5178082191781,12.613698630137,11.4356164383562,14.3333333333333,16.1530054644809,15.6328767123288,16.9260273972603,"Breed=Dachshund, Sex=Female","Dachshund","Female"
"Breed=Dachshund, Sex=Male  ",263,49,3,98,13.5777189129691,0.490304172227158,13.879781420765,13.1643835616438,14.9013698630137,10.8383561643836,10.2493150684931,13.3306010928962,15.9644808743169,15.1366120218579,16.4289617486339,"Breed=Dachshund, Sex=Male  ","Dachshund","Male"
"Breed=Pembroke Welsh Corgi, Sex=Female",161,39,7,30,13.2594756892202,0.834068847309915,13.2821917808219,12.1666666666667,14.1639344262295,11.1808219178082,7.84931506849315,12.7424657534247,14.9643835616438,13.7698630136986,NA,"Breed=Pembroke Welsh Corgi, Sex=Female","Pembroke Welsh Corgi","Female"
"Breed=Pembroke Welsh Corgi, Sex=Male  ",147,38,9,31,12.4149651048608,0.531406449150047,12.7095890410959,11.4890710382514,14.1256830601093,10.9506849315068,9.89315068493151,12.6328767123288,14.7945205479452,13.758904109589,15.5424657534247,"Breed=Pembroke Welsh Corgi, Sex=Male  ","Pembroke Welsh Corgi","Male"
"Breed=Chihuahua, Sex=Female",147,36,6,54,13.4183835504668,0.730351292031692,13.6547945205479,12.9260273972603,14.5956284153005,11.8684931506849,10.3917808219178,13.5890410958904,15.2904109589041,14.4207650273224,16.4767123287671,"Breed=Chihuahua, Sex=Female","Chihuahua","Female"
"Breed=Chihuahua, Sex=Male  ",145,34,5,50,13.7168812373593,0.6460143418202,13.4246575342466,12.3369863013699,15.5534246575342,10.9835616438356,9.93424657534247,13.3287671232877,16.3753424657534,14.5,17.1287671232877,"Breed=Chihuahua, Sex=Male  ","Chihuahua","Male"
"Breed=Beagle, Sex=Female",148,31,6,56,12.7680993918251,0.620343474711772,13.227397260274,11.8575342465753,14.4071038251366,10.8958904109589,9.24109589041096,12.9153005464481,15.0712328767123,14.2082191780822,15.8551912568306,"Breed=Beagle, Sex=Female","Beagle","Female"
"Breed=Beagle, Sex=Male  ",141,26,8,61,11.6834580703907,0.634332708095402,11.9699453551913,9.98630136986301,13.8191780821918,9.53424657534247,7.77868852459016,11.9699453551913,14.0409836065574,12.7342465753425,14.9534246575342,"Breed=Beagle, Sex=Male  ","Beagle","Male"
"Breed=Great Dane, Sex=Female",143,41,8,44,9.1541655905977,0.39599616839144,8.93424657534247,8.30958904109589,10.5452054794521,7.12328767123288,6.41530054644809,8.74863387978142,10.8767123287671,10.1616438356164,12.3315068493151,"Breed=Great Dane, Sex=Female","Great Dane","Female"
